Color,Style,Pattern Type,Type,Fabric,Material,Composition,Care Instructions,rating,price,category,Polyester,Elastane,Viscose,Spandex,Cotton,Metallized Fibres,Polyamide,Rayon,Silk,Nylon,Cashmere,Linen,Polyurethane
Multicolor ,Casual ,All Over Print ,Shirt ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Casual ,Graphic ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,47.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,A Line ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.91,59.0,dresses,95.0,5.0,,,,,,,,,,,
Multicolor ,Boho ,Ditsy Floral ,Smock ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,49.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Elegant ,Plain ,Shirt ,Slight Stretch ,Woven Fabric ,"94% Polyester, 6% Elastane ",Machine wash or professional dry clean ,4.86,89.0,dresses,94.0,6.0,,,,,,,,,,,
Multicolor ,Elegant ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.92,69.0,dresses,95.0,5.0,,,,,,,,,,,
Black ,Sexy ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.92,39.0,dresses,90.0,10.0,,,,,,,,,,,
Multicolor ,Casual ,Plaid ,Pinafore ,Non-Stretch ,Wool-Like Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,31.0,dresses,100.0,,,,,,,,,,,,
Olive Green ,Boho ,Ditsy Floral ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,79.0,dresses,100.0,,,,,,,,,,,,
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.94,39.0,dresses,95.0,,,5.0,,,,,,,,,
Apricot ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.97,49.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Fit and Flare ,High Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.88,49.0,dresses,95.0,,,5.0,,,,,,,,,
Grey ,Elegant ,Plain ,Bodycon ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.87,49.0,dresses,90.0,10.0,,,,,,,,,,,
Maroon ,Casual ,Plain ,A Line ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,59.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Fitted ,Slight Stretch ,Woven Fabric ,"95% Polyester, 5% Spandex ",Hand wash or professional dry clean ,4.88,79.0,dresses,95.0,,,5.0,,,,,,,,,
Dark Green ,Elegant ,Plain ,Bodycon ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,39.0,dresses,95.0,5.0,,,,,,,,,,,
Multicolor ,Elegant ,Floral ,A Line ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,89.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Heart ,Shirt ,Non-Stretch ,Woven Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,0.0,59.0,dresses,97.0,3.0,,,,,,,,,,,
Purple ,Party ,Plain ,A Line ,Non-Stretch ,Chiffon ,100% Polyester ,Hand wash or professional dry clean ,4.93,129.0,dresses,100.0,,,,,,,,,,,,
Army Green ,Boho ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,49.0,dresses,100.0,,,,,,,,,,,,
Teal Blue ,Elegant ,Plain ,Fitted ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,dresses,100.0,,,,,,,,,,,,
Dusty Pink ,Party ,Plain ,A Line ,Slight Stretch ,Fabric ,"98% Polyester, 2% Spandex ",Machine wash or professional dry clean ,4.83,119.0,dresses,98.0,,,2.0,,,,,,,,,
Black ,Boho ,Floral ,Tunic ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.92,29.0,dresses,,,100.0,,,,,,,,,,
Dark Grey ,Casual ,Colorblock ,Shirt ,Medium Stretch ,Rib knit ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.95,99.0,dresses,97.0,3.0,,,,,,,,,,,
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,59.0,dresses,100.0,,,,,,,,,,,,
Redwood ,Casual ,Plain ,Tee ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Hand wash or professional dry clean ,5.0,49.0,dresses,60.0,5.0,35.0,,,,,,,,,,
Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,109.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,Fitted ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ","Hand wash,do not dry clean ",4.75,109.0,dresses,90.0,10.0,,,,,,,,,,,
Dusty Blue ,Elegant ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,69.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Boho ,"Floral, All Over Print ",Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,55.0,dresses,100.0,,,,,,,,,,,,
Black ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,5.0,69.0,dresses,97.0,,,3.0,,,,,,,,,
Navy Blue ,Party ,Plain ,A Line ,Slight Stretch ,Chiffon ,100% Polyester ,Machine wash or professional dry clean ,4.9,139.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Elegant ,Polka Dot ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,59.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Sexy ,"Letter, Graphic ",Cami ,Slight Stretch ,Knitted Fabric ,"92% Polyester, 8% Elastane ",Machine wash or professional dry clean ,0.0,29.0,dresses,92.0,8.0,,,,,,,,,,,
Black ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,69.0,dresses,100.0,,,,,,,,,,,,
Khaki ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.99,89.0,dresses,,,100.0,,,,,,,,,,
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.87,89.0,dresses,100.0,,,,,,,,,,,,
Mauve Purple ,Sexy ,Plain ,Cami ,Slight Stretch ,Metallic ,100% Polyester ,"Hand wash,do not dry clean ",4.92,19.0,dresses,100.0,,,,,,,,,,,,
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.86,89.0,dresses,100.0,,,,,,,,,,,,
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.96,49.0,dresses,97.0,3.0,,,,,,,,,,,
Black ,Casual ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,29.0,dresses,100.0,,,,,,,,,,,,
Dark Green ,Casual ,Plain ,Shirt ,Non-Stretch ,Corduroy ,100% Polyester ,Machine wash or professional dry clean ,4.84,63.0,dresses,100.0,,,,,,,,,,,,
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,69.0,dresses,100.0,,,,,,,,,,,,
White ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.92,89.0,dresses,100.0,,,,,,,,,,,,
Black and White ,Casual ,Striped ,Tee ,Slight Stretch ,Fabric ,100% Cotton ,Hand wash or professional dry clean ,4.92,59.0,dresses,,,,,100.0,,,,,,,,
Multicolor ,Casual ,Graphic ,A Line ,Medium Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,69.0,dresses,100.0,,,,,,,,,,,,
Blue ,Casual ,Plain ,Tee ,Medium Stretch ,Fabric ,"96% Polyester, 4% Spandex ",Machine wash or professional dry clean ,4.82,39.0,dresses,96.0,,,4.0,,,,,,,,,
