Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price
Black ,Boho ,Floral ,Tunic ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.92,₪29.00
Dark Grey ,Casual ,Colorblock ,Shirt ,Medium Stretch ,Rib knit ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.95,₪99.00
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,₪59.00
Redwood ,Casual ,Plain ,Tee ,Medium Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Hand wash or professional dry clean ,5.0,₪49.00
Blue ,Elegant ,Plain ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,₪109.00
Black ,Elegant ,Plain ,Fitted ,Medium Stretch ,Fabric ,"90% Polyester, 10% Elastane ","Hand wash,do not dry clean ",4.75,₪109.00
Dusty Blue ,Elegant ,Plain ,Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,₪69.00
Multicolor ,Boho ,"Floral, All Over Print ",Smock ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,₪55.00
Black ,Boho ,"Floral, All Over Print ",A Line ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,5.0,₪69.00
Navy Blue ,Party ,Plain ,A Line ,Slight Stretch ,Chiffon ,100% Polyester ,Machine wash or professional dry clean ,4.9,₪139.00
Multicolor ,Elegant ,Polka Dot ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,₪59.00
Multicolor ,Sexy ,"Letter, Graphic ",Cami ,Slight Stretch ,Knitted Fabric ,"92% Polyester, 8% Elastane ",Machine wash or professional dry clean ,0.0,₪29.00
Black ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,₪69.00
Khaki ,Boho ,Floral ,A Line ,Non-Stretch ,Fabric ,100% Viscose ,Machine wash or professional dry clean ,4.99,₪89.00
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.87,₪89.00
White ,,,,,,,,5.0,₪23.00
Baby Pink ,,,,,,,,4.9,₪21.00
Multicolor ,,,,,,,,5.0,₪180.00
Silver ,,,,,Zinc Alloy ,,,0.0,₪9.00
Grey ,,Animal ,PU Phone Cases ,,PU Leather ,,,4.97,₪9.00
Black ,,Plain ,Babydolls ,High Stretch ,Mesh Fabric ,"93.4% Polyamide, 6.6% Elastane ","Hand wash,do not dry clean ",5.0,₪9.00
Black ,,,,,Fabric ,,,4.99,₪9.00
Multicolor ,,Floral ,Phone Cases ,,TPU ,,,5.0,₪9.00
Beige ,Casual ,Plain ,Regular ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.89,₪99.00
White ,,,Car Electrical Appliances ,,ABS ,,,4.84,₪29.00
You're Peachy ,,,Powder Blush ,,,,,4.96,₪16.00
Multicolor ,,Plants ,Color Nails ,,,,,4.95,₪9.00
White ,,,Bathroom Storage Hooks ,,Iron ,,,4.93,₪29.00
Multicolor ,Casual ,Plain ,Medium Hair Claw ,,Plastic ,,,5.0,₪9.00
Dark Grey ,Casual ,Plain ,,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.62,₪29.00
Blue ,,,,,Tempered Glass ,,,4.83,₪19.00
Green ,,,Dumpling Tools ,,PP ,,,4.92,₪29.00
Multicolor ,,Plain ,Phone Cases ,,TPU ,,,4.94,₪9.00
Multicolor ,,Letter ,Color Nails ,,,,,4.98,₪9.00
Grey ,,,Jewelry Display Holders ,,MDF ,,,4.9,₪9.00
Black ,,,,,Zinc Alloy ,,,4.93,₪9.00
White ,,,Bathroom Storage & Organizers ,,Iron ,,,4.84,₪29.00
Beige ,,,Jewelry Display Holders ,,MDF ,,,4.98,₪9.00
Clear ,,Heart ,Phone Cases ,,TPU ,,,4.95,₪9.00
Grey ,,,,,Polyester ,100% Polyester ,,4.83,₪9.00
Mauve Purple ,Sexy ,Plain ,Cami ,Slight Stretch ,Metallic ,100% Polyester ,"Hand wash,do not dry clean ",4.92,₪19.00
Black ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.86,₪89.00
Black and White ,Elegant ,Houndstooth ,A Line ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.96,₪49.00
Black ,Casual ,Plain ,Cami ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,₪29.00
Dark Green ,Casual ,Plain ,Shirt ,Non-Stretch ,Corduroy ,100% Polyester ,Machine wash or professional dry clean ,4.84,₪63.00
Multicolor ,Boho ,Ditsy Floral ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,₪69.00
White ,Elegant ,Plain ,A Line ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.92,₪89.00
