Color:,Style:,Pattern Type:,Type:,Fabric:,Material:,Composition:,Care Instructions:,rating,price,category
Black ,Elegant ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,39.0,pants
Black ,Elegant ,Plain ,Flare Leg ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean ",4.94,49.0,pants
Chocolate Brown ,Casual ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"95% Cotton, 5% Elastane ",Machine wash or professional dry clean ,4.9,39.0,pants
Apricot ,Casual ,Plain ,Tapered/Carrot ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,3.5,69.0,pants
Black ,Casual ,Plain ,Flare Leg ,High Stretch ,Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,4.88,39.0,pants
Green ,Casual ,Plain ,Straight Leg ,High Stretch ,Fabric ,"60% Polyester, 35% Viscose, 5% Elastane ",Hand wash or professional dry clean ,4.85,39.0,pants
Black ,Party ,Plain ,Skinny ,Slight Stretch ,PU Leather ,"94% Polyester, 6% Elastane ","Machine wash, do not dry clean ",4.89,39.0,pants
Dark Grey ,Casual ,Plain ,Cargo Pants ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,59.0,pants
Pink ,Party ,Plain ,Flare Leg ,Slight Stretch ,Sequins ,"96% Polyester, 4% Elastane ","Hand wash,do not dry clean ",4.94,89.0,pants
Khaki ,Casual ,Plain ,Straight Leg ,Slight Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.91,39.0,pants
Black ,Casual ,Plain ,Straight Leg ,Slight Stretch ,PU Leather ,100% Polyester ,Hand wash or professional dry clean ,4.95,69.0,pants
Multicolor ,Casual ,"Heart, Patchwork ",Flare Leg ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,39.0,pants
Apricot ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Woven Fabric ,100% Cotton ,"Machine wash, do not dry clean ",5.0,119.0,pants
Multicolor ,Boho ,Scarf Print ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,39.0,pants
Dark Grey ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,49.0,pants
Green ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,"98% Viscose, 2% Polyester ",Hand wash or professional dry clean ,4.95,109.0,pants
Black ,Casual ,Butterfly ,Flare Leg ,Slight Stretch ,Knitted Fabric ,"90% Polyester, 10% Elastane ",Machine wash or professional dry clean ,5.0,39.0,pants
Grey ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,"68.6% Viscose, 21.2% Polyester, 10.2% Elastane ",Hand wash or professional dry clean ,4.94,109.0,pants
Black ,Elegant ,Plain ,Flare Leg ,High Stretch ,Knitted Fabric ,"90.5% Polyester, 9.5% Elastane ",Machine wash or professional dry clean ,0.0,39.0,pants
Light Grey ,Casual ,Plain ,Flare Leg ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.87,39.0,pants
Apricot ,Elegant ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ","Hand wash,do not dry clean ",0.0,69.0,pants
Mocha Brown ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,69.0,pants
Khaki ,Elegant ,Plain ,Wide Leg ,Non-Stretch ,PU Leather ,100% Polyester ,"Hand wash,do not dry clean ",4.91,69.0,pants
Black ,Casual ,Plain ,Straight Leg ,Slight Stretch ,PU Leather ,100% Polyester ,"Machine wash, do not dry clean ",4.88,89.0,pants
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,49.0,pants
Blue ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,"55% Polyamide, 45% Polyester ",Hand wash or professional dry clean ,4.73,109.0,pants
Black ,Party ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,79.0,pants
Black ,Casual ,Plain ,Flare Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.72,49.0,pants
Army Green ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,49.0,pants
Coffee Brown ,Casual ,Plaid ,Wide Leg ,Non-Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.88,49.0,pants
Black ,Elegant ,Plain ,Wide Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.92,39.0,pants
Black ,Casual ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.94,39.0,pants
Black ,Party ,Plain ,Straight Leg ,Slight Stretch ,PU Leather ,100% Polyester ,Hand wash or professional dry clean ,4.88,69.0,pants
Light Grey ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,"55% Polyamide, 45% Polyester ",Hand wash or professional dry clean ,4.86,109.0,pants
Beige ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.73,49.0,pants
Coffee Brown ,Party ,Plain ,Flare Leg ,Slight Stretch ,PU Leather ,100% Polyurethane ,Hand wash or professional dry clean ,4.81,59.0,pants
Black ,Elegant ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"95% Cotton, 5% Elastane ",Machine wash or professional dry clean ,4.85,49.0,pants
Coffee Brown ,Casual ,Plaid ,Wide Leg ,Non-Stretch ,Woven Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.25,49.0,pants
Black ,Casual ,Letter ,Cargo Pants ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.88,49.0,pants
Black ,Casual ,Plain ,Flare Leg ,Non-Stretch ,Fabric ,"92% Polyester, 8% Elastane ",Hand wash or professional dry clean ,4.94,59.0,pants
Black ,Elegant ,Plain ,Tapered/Carrot ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.65,49.0,pants
Beige ,Elegant ,Plain ,Tapered/Carrot ,Slight Stretch ,PU Leather ,100% Polyurethane ,"Machine wash, do not dry clean ",4.87,89.0,pants
Coffee Brown ,Casual ,Plaid ,Straight Leg ,Non-Stretch ,Fabric ,"65% Polyester, 35% Cotton ",Machine wash or professional dry clean ,4.86,49.0,pants
Orange ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.8,59.0,pants
Black ,Casual ,Plain ,Tapered/Carrot ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.67,49.0,pants
Beige ,Casual ,Letter ,Straight Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.8,59.0,pants
Black ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.85,59.0,pants
Black ,Casual ,Plain ,Straight Leg ,Slight Stretch ,PU Leather ,100% Polyester ,Hand wash or professional dry clean ,4.89,79.0,pants
Black ,Elegant ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.85,49.0,pants
Pink ,Casual ,Colorblock ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,59.0,pants
Khaki ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"70% Viscose, 30% Linen ",Machine wash or professional dry clean ,4.8,49.0,pants
Navy Blue ,Casual ,"Letter, Colorblock ",Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.67,49.0,pants
Khaki ,Casual ,Plain ,Wide Leg ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,49.0,pants
Multicolor ,Casual ,Colorblock ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.86,59.0,pants
Khaki ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Cotton ,"Machine wash, do not dry clean ",4.76,69.0,pants
Black ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,5.0,59.0,pants
Black ,Casual ,Plain ,Tapered/Carrot ,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.0,59.0,pants
Apricot ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,59.0,pants
Army Green ,Elegant ,Plain ,Tapered/Carrot ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.83,29.0,pants
Grey ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.88,59.0,pants
Black ,Party ,Plain ,Straight Leg ,Non-Stretch ,PU Leather ,100% Polyester ,Machine wash or professional dry clean ,4.85,79.0,pants
Army Green ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.93,37.76,pants
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.8,59.0,pants
Black ,Party ,Plain ,Skinny ,High Stretch ,PU Leather ,"77% Polyester, 20% Polyamide, 3% Elastane ","Machine wash, do not dry clean ",4.86,69.0,pants
Black ,Casual ,Letter ,Cargo Pants ,Non-Stretch ,Fabric ,"55% Polyamide, 45% Elastane ",Hand wash or professional dry clean ,4.86,89.0,pants
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.8,59.0,pants
Rust Brown ,Elegant ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Hand wash,do not dry clean ",5.0,69.0,pants
Navy Blue ,Elegant ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,0.0,59.0,pants
Black ,Party ,Plain ,Flare Leg ,Slight Stretch ,Knitted Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.57,49.0,pants
Baby Blue ,Casual ,Plain ,Wide Leg ,Medium Stretch ,Fabric ,"77% Rayon, 20% Polyamide, 3% Spandex ",Machine wash or professional dry clean ,4.92,69.0,pants
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,59.0,pants
Black ,Casual ,Figure ,Flare Leg ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.57,39.0,pants
Baby Blue ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Corduroy ,100% Polyester ,Machine wash or professional dry clean ,4.91,69.0,pants
Grey ,Casual ,Plain ,Cargo Pants ,Slight Stretch ,Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.87,109.0,pants
Coffee Brown ,Casual ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.8,49.0,pants
Brown ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,39.0,pants
Hot Pink ,Casual ,Plain ,Flare Leg ,High Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.83,29.0,pants
Black ,Casual ,Plain ,Flare Leg ,Medium Stretch ,Fabric ,"92% Polyester, 8% Elastane ",Machine wash or professional dry clean ,4.89,39.0,pants
Khaki ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,"68.6% Viscose, 21.2% Polyester, 10.2% Elastane ",Hand wash or professional dry clean ,4.89,109.0,pants
Pink ,Casual ,Plaid ,Straight Leg ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.94,39.0,pants
Black ,Casual ,Plain ,Flare Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.95,29.0,pants
Burgundy ,Casual ,Plain ,Flare Leg ,Medium Stretch ,Corduroy ,"95% Polyester, 5% Spandex ","Machine wash, do not dry clean ",4.87,79.0,pants
Grey ,Casual ,Plain ,Flare Leg ,Slight Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.78,59.0,pants
White ,Casual ,Plain ,Jogger ,Slight Stretch ,Flannelette ,100% Polyester ,Hand wash or professional dry clean ,4.83,49.0,pants
Coffee Brown ,Elegant ,Plaid ,Tapered/Carrot ,Non-Stretch ,Fabric ,"97% Polyester, 3% Elastane ","Hand wash,do not dry clean ",4.72,59.0,pants
Multicolor ,Casual ,Cartoon ,Jogger ,Slight Stretch ,Flannelette ,100% Polyester ,Hand wash or professional dry clean ,4.95,49.0,pants
Black ,Elegant ,Plain ,Straight Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.87,69.0,pants
Black ,Casual ,Animal ,Jogger ,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,4.8,49.0,pants
Army Green ,Casual ,Halloween ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.77,59.0,pants
Mocha Brown ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,"79% Polyester, 18% Rayon, 3% Spandex ",Hand wash or professional dry clean ,4.89,69.0,pants
Dusty Blue ,Elegant ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,4.89,59.0,pants
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.83,39.0,pants
Black ,Casual ,Plain ,Straight Leg ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.75,59.0,pants
Navy Blue ,Casual ,"Letter, Colorblock ",Straight Leg ,Slight Stretch ,Fabric ,"98% Polyester, 2% Elastane ",Machine wash or professional dry clean ,4.9,69.0,pants
Beige ,Casual ,Plain ,Tapered/Carrot ,Non-Stretch ,Flannelette ,100% Polyester ,Machine wash or professional dry clean ,4.86,39.0,pants
Beige ,Casual ,Plain ,Wide Leg ,Slight Stretch ,Knitted Fabric ,"65% Polyester, 35% Cotton ",Machine wash or professional dry clean ,4.81,49.0,pants
Multicolor ,Boho ,"Floral, All Over Print ",Flare Leg ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.87,39.0,pants
Apricot ,Casual ,Plain ,Flare Leg ,Slight Stretch ,Rib knit ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,29.0,pants
Black ,Elegant ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.9,49.0,pants
Beige ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Corduroy ,100% Polyester ,Machine wash or professional dry clean ,4.84,69.0,pants
Beige ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"70% Viscose, 30% Linen ",Machine wash or professional dry clean ,4.86,59.0,pants
Beige ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Corduroy ,100% Polyester ,"Machine wash, do not dry clean ",4.9,69.0,pants
Black and White ,Casual ,Marble ,Flare Leg ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.86,29.0,pants
Multicolor ,Casual ,Marble ,Flare Leg ,Slight Stretch ,Fabric ,"91% Polyester, 9% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.92,39.0,pants
White ,Elegant ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",5.0,69.0,pants
Grey ,Party ,All Over Print ,Flare Leg ,Medium Stretch ,Knitted Fabric ,100% Polyamide ,Machine wash or professional dry clean ,4.92,49.0,pants
Black ,Casual ,Plain ,Tapered/Carrot ,Medium Stretch ,Knitted Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.88,59.0,pants
Black ,Casual ,Plain ,Wide Leg ,High Stretch ,Fabric ,"60% Polyester, 35% Rayon, 5% Elastane ","Hand wash,do not dry clean ",4.9,49.0,pants
Multicolor ,Casual ,Tartan ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.88,39.0,pants
Black ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Hand wash or professional dry clean ,0.0,59.0,pants
Dark Grey ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"92% Polyester, 8% Elastane ",Machine wash or professional dry clean ,4.91,69.0,pants
Army Green ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,39.0,pants
Coffee Brown ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,59.0,pants
Black ,Sexy ,Plain ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.86,39.0,pants
Black ,Party ,Plain ,Flare Leg ,Slight Stretch ,PU Leather ,100% Polyurethane ,Hand wash or professional dry clean ,4.93,69.0,pants
Multicolor ,Casual ,Leopard Print ,Wide Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.93,39.0,pants
Red ,Casual ,Tartan ,Wide Leg ,Non-Stretch ,Fabric ,"70% Cotton, 30% Polyester ",Machine wash or professional dry clean ,4.85,39.0,pants
Apricot ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Corduroy ,100% Polyester ,"Machine wash, do not dry clean ",4.91,69.0,pants
Black ,Casual ,Plain ,Flare Leg ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.91,39.0,pants
Multicolor ,Casual ,Plaid ,Wide Leg ,Non-Stretch ,Fabric ,"90% Cotton, 10% Polyester ",Machine wash or professional dry clean ,4.86,39.0,pants
Navy Blue ,Elegant ,Plain ,Tapered/Carrot ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.9,49.0,pants
Apricot ,Casual ,Plain ,Flare Leg ,High Stretch ,Fabric ,"65% Polyester, 30% Viscose, 5% Elastane ",Machine wash or professional dry clean ,4.88,49.0,pants
Grey ,Casual ,Plain ,Flare Leg ,Medium Stretch ,Fabric ,"96% Polyester, 4% Elastane ",Machine wash or professional dry clean ,4.83,29.0,pants
Black ,Casual ,Plain ,Skinny ,Medium Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Hand wash or professional dry clean ,0.0,39.0,pants
Coffee Brown ,Party ,Plain ,Straight Leg ,Slight Stretch ,PU Leather ,100% Polyester ,"Machine wash, do not dry clean ",4.85,79.0,pants
Army Green ,Casual ,Halloween ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.77,59.0,pants
Beige ,Casual ,Fruit&Vegetable ,Straight Leg ,Non-Stretch ,Fabric ,100.0% Cotton ,Machine wash or professional dry clean ,4.87,89.0,pants
Black ,Casual ,Plain ,Straight Leg ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.75,59.0,pants
Army Green ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.92,49.0,pants
Army Green ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.86,59.0,pants
White ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,69.0,pants
Multicolor ,Casual ,Plaid ,Skinny ,Slight Stretch ,Fabric ,"97% Polyester, 3% Elastane ",Machine wash or professional dry clean ,4.65,59.0,pants
Red ,Elegant ,Plain ,Tapered/Carrot ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,5.0,59.0,pants
Dark Grey ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Woven Fabric ,"79% Polyester, 18% Viscose, 3% Spandex ",Hand wash or professional dry clean ,5.0,69.0,pants
Black ,Party ,Plain ,Skinny ,High Stretch ,PU Leather ,"77% Polyester, 20% Polyamide, 3% Elastane ",Machine wash or professional dry clean ,4.91,69.0,pants
Khaki ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.91,49.0,pants
Mocha Brown ,Casual ,Plain ,Tapered/Carrot ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,49.0,pants
Brown ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,59.0,pants
Apricot ,Boho ,Tropical ,Wide Leg ,Non-Stretch ,Fabric ,"50% Cotton, 50% Polyester ",Machine wash or professional dry clean ,4.89,49.0,pants
Black ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Spandex ","Hand wash,do not dry clean ",4.89,69.0,pants
White ,Boho ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.86,49.0,pants
Brown ,Casual ,Plain ,Tapered/Carrot ,Slight Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.92,39.0,pants
Multicolor ,Casual ,All Over Print ,Flare Leg ,High Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.79,39.0,pants
Dark Grey ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.86,59.0,pants
Burgundy ,Casual ,Plain ,Wide Leg ,Slight Stretch ,Fabric ,"91% Polyester, 9% Elastane ",Machine wash or professional dry clean ,4.84,39.0,pants
Beige ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,"95% Polyester, 5% Spandex ",Machine wash or professional dry clean ,4.89,49.0,pants
Multicolor ,Casual ,Zebra Stripe ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.9,49.0,pants
Navy Blue ,Elegant ,Tartan ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.82,47.0,pants
Dark Green ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,"Hand wash,do not dry clean ",4.75,69.0,pants
Green ,Elegant ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.89,59.0,pants
Multicolor ,Boho ,Patchwork ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",4.66,49.0,pants
Brown ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,89.0,pants
White ,Casual ,Plain ,Wide Leg ,Slight Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean ",4.85,99.0,pants
Dark Grey ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Cotton ,Hand wash or professional dry clean ,4.84,69.0,pants
Brown ,Elegant ,Plain ,Straight Leg ,Non-Stretch ,PU Leather ,100% Polyester ,Machine wash or professional dry clean ,4.87,79.0,pants
Khaki ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.85,49.0,pants
Khaki ,Casual ,Plain ,Wide Leg ,Slight Stretch ,Fabric ,"66% Polyester, 33% Viscose, 1% Elastane ",Machine wash or professional dry clean ,4.85,49.0,pants
Army Green ,Casual ,Plain ,Cargo Pants ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.74,89.0,pants
Grey ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,100% Polyamide ,Hand wash or professional dry clean ,4.81,89.0,pants
Apricot ,Casual ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"97% Polyester, 3% Spandex ",Machine wash or professional dry clean ,4.83,59.0,pants
Multicolor ,Casual ,Camo ,Cargo Pants ,Non-Stretch ,Fabric ,100% Polyester ,"Machine wash, do not dry clean,wash with the soft detergent ",4.87,79.0,pants
White ,Elegant ,Plain ,Straight Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.73,79.0,pants
Black ,Party ,Plain ,Skinny ,Non-Stretch ,PU Leather ,"96% Polyester, 4% Elastane ","Hand wash,do not dry clean ",4.83,49.0,pants
Black ,Party ,Plain ,Skinny ,High Stretch ,PU Leather ,"77% Polyester, 20% Polyamide, 3% Elastane ","Machine wash, do not dry clean ",4.92,79.0,pants
Khaki ,Elegant ,Plain ,Wide Leg ,Non-Stretch ,Fabric ,"80% Polyester, 20% Viscose ",Machine wash or professional dry clean ,4.83,79.0,pants
Black ,Casual ,Letter ,Cargo Pants ,Non-Stretch ,Woven Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,59.0,pants
Army Green ,Casual ,Plain ,Cargo Pants ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.84,49.0,pants
Coffee Brown ,Casual ,Plain ,Straight Leg ,Medium Stretch ,Woven Fabric ,"92% Polyester, 8% Elastane ",Machine wash or professional dry clean ,4.91,79.0,pants
Army Green ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Viscose ,Hand wash or professional dry clean ,4.9,109.0,pants
White ,Casual ,Plain ,Straight Leg ,Non-Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,4.87,69.0,pants
Multicolor ,Casual ,Paisley ,Flare Leg ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ","Machine wash, do not dry clean,wash with the soft detergent ",4.86,39.0,pants
Black ,Casual ,Plain ,Skinny ,Slight Stretch ,Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.83,29.0,pants
Army Green ,Casual ,Plain ,Cargo Pants ,Non-Stretch ,Fabric ,100% Cotton ,Machine wash or professional dry clean ,4.76,59.0,pants
Black ,Elegant ,Plain ,Tapered/Carrot ,Medium Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.8,59.0,pants
Baby Blue ,Casual ,Plain ,Wide Leg ,Slight Stretch ,Fabric ,100% Polyester ,Machine wash or professional dry clean ,0.0,49.0,pants
Black ,Elegant ,Plain ,Wide Leg ,Non-Stretch ,Knitted Fabric ,"95% Polyester, 5% Elastane ",Machine wash or professional dry clean ,4.97,39.0,pants
Hot Pink ,Sexy ,Plain ,Skinny ,Slight Stretch ,PU Leather ,"94% Polyester, 6% Elastane ","Hand wash,do not dry clean ",4.8,49.0,pants
